1_layer,,2_layers,,3_layers,,6_layers,,morethan6_layers,
X,Y,X,Y,X,Y,X,Y,X,Y
758.3152890570906,6.452505980122102,6039.155611714369,5.91940732095299,9145.374657688108,5.933603311091743,1158323.2862547056,3.9773264289410233,25147836.36587052,3.1451654441525836
3024.1320503060197,5.990728538951322,55230.34068520751,4.910617938947316,36471.40050250115,5.213666203213083,4699916.180004517,3.5880547735426664,38746751.20456112,3.041441954953044
48934.1461821343,5.139271060713824,96045.73792932431,4.68091208713843,145446.53493180103,4.625184582674296,10593300.427523814,3.3714110382938802,84364103.75294474,2.850965026002646
195147.48279407478,4.8289661882077315,389707.1940719365,4.232905723213475,327826.8764089798,4.335522321094122,19069988.802945517,3.2060165503982736,149268256.2154739,2.7437678349744585
778240.615440993,4.4406266110825445,1554137.2208032135,3.8461593465662958,590151.7572541058,4.1031265888530255,76050377.94988038,2.892235071280314,303285966.5563263,2.5966944519114605
3157724.362318926,4.1031265888530255,6305937.864391788,3.5199524731309366,2313157.77816536,3.7461413427216335,303285966.5563263,2.6406012923967177,695509199.2104414,2.43990822068945
12377010.794623831,3.8094838858726106,25147836.36587052,3.2680449737667274,9385676.5183879,3.3876011414832763,1341712835.479906,2.4224378357934153,1488387091.6944306,2.342548968527428
50219929.085455514,3.5538404964011496,100288599.0132727,3.0124399623625417,37429715.03100554,3.092868916898062,,,,
,,,,151871697.11142194,2.83733962677984,,,,
